Subj_idx,Stimulus,Response,Confidence,RT_decConf,Contrast
1,1,2,81.7,0.48166,1
1,2,2,76.1,0.50555,3
1,2,2,70.3,0.64164,3
1,1,1,64.4,0.54634,1
1,2,2,72,0.4869,2
1,1,1,62.9,0.55887,3
1,1,1,64.3,0.76188,2
1,1,1,72,0.5832,3
1,2,2,67.8,0.53883,2
1,1,2,84,0.5842,1
1,2,2,76.5,0.6829,2
1,2,2,68.3,0.81894,2
1,1,1,92.8,0.86854,3
1,2,2,66.8,0.46773,3
1,2,2,60.8,0.55274,3
1,1,2,59.2,0.8315,1
1,1,1,79,0.65571,3
1,1,1,86.9,0.69629,3
1,1,2,87.7,0.53506,2
1,2,2,79.4,0.65274,2
1,2,2,71,0.64444,3
1,2,2,81,0.54967,1
1,1,2,96.1,0.59428,3
1,1,1,87.3,0.75825,3
1,1,1,78.2,0.70649,2
1,2,2,67.5,0.80144,2
1,2,2,80.9,0.85993,2
1,1,1,58.4,0.96317,2
1,2,2,77.2,0.81479,2
1,1,1,68.3,0.62462,2
1,2,2,82.2,0.51411,3
1,2,2,66,0.61692,2
1,2,2,63.5,0.53146,2
1,1,1,88.6,0.64268,3
1,2,2,68.4,0.46653,1
1,2,2,71.7,0.60342,2
1,2,2,84.4,0.62239,1
1,1,1,66.8,0.83839,3
1,2,1,66.8,0.82496,2
